"","int","plant","BR_code","date_time","avg_leaf_temp","env_temp","spore","rep","plant_name","ASSYST","dpi","mean_temp","diff_temp","lf_vs_env"
"119","4.30","4","BR7-04123","2015-8-5 00:00:00",19.8476,22.3,"2","3","Kale Ragged Jack","BnASSYST-209","30",19.8692,-0.0215999999999994,2.4524
"120","4.30","4","BR7-04124","2015-8-5 00:00:00",19.84936,22.3,"2","4","Kale Ragged Jack","BnASSYST-209","30",19.8692,-0.0198399999999985,2.45064
"121","4.44","4","BR7-04123","2015-8-19 00:00:00",20.99176,21.8,"2","3","Kale Ragged Jack","BnASSYST-209","44",20.96253,0.0292299999999983,0.808240000000001
"122","4.44","4","BR7-04124","2015-8-19 00:00:00",20.79708,21.8,"2","4","Kale Ragged Jack","BnASSYST-209","44",20.96253,-0.16545,1.00292
"123","4.44","4","BR7-04131","2015-8-19 00:00:00",21.03972,21.8,"3","1","Kale Ragged Jack","BnASSYST-209","44",20.96253,0.0771899999999981,0.760280000000002
"124","4.44","4","BR7-04132","2015-8-19 00:00:00",21.19356,21.8,"3","2","Kale Ragged Jack","BnASSYST-209","44",20.96253,0.231030000000001,0.606439999999999
"125","4.44","4","BR7-04113","2015-8-19 00:00:00",20.99392,21.8,"1","3","Kale Ragged Jack","BnASSYST-209","44",20.96253,0.0313899999999983,0.806080000000001
"126","4.44","4","BR7-04114","2015-8-19 00:00:00",20.47148,21.8,"1","4","Kale Ragged Jack","BnASSYST-209","44",20.96253,-0.491050000000001,1.32852
"127","4.44","4","BR7-04111","2015-8-19 00:00:00",21.30228,21.8,"1","1","Kale Ragged Jack","BnASSYST-209","44",20.96253,0.339749999999999,0.497720000000001
"128","4.44","4","BR7-04112","2015-8-19 00:00:00",21.08244,21.8,"1","2","Kale Ragged Jack","BnASSYST-209","44",20.96253,0.119909999999997,0.717560000000002
"129","4.44","4","BR7-04122","2015-8-19 00:00:00",21.11972,21.8,"2","2","Kale Ragged Jack","BnASSYST-209","44",20.96253,0.15719,0.68028
"130","4.44","4","BR7-04133","2015-8-19 00:00:00",20.9384,21.8,"3","3","Kale Ragged Jack","BnASSYST-209","44",20.96253,-0.0241299999999995,0.861599999999999
"131","4.44","4","BR7-04134","2015-8-19 00:00:00",20.4798,21.8,"3","4","Kale Ragged Jack","BnASSYST-209","44",20.96253,-0.48273,1.3202
"132","4.44","4","BR7-04121","2015-8-19 00:00:00",20.80248,21.8,"2","1","Kale Ragged Jack","BnASSYST-209","44",20.96253,-0.160050000000002,0.997520000000002
"133","4.51","4","BR7-04113","2015-8-26 00:00:00",22.28212,23.55618729,"1","3","Kale Ragged Jack","BnASSYST-209","51",22.20213,0.0799899999999987,1.27406729
"134","4.51","4","BR7-04111","2015-8-26 00:00:00",22.17248,23.36933333,"1","1","Kale Ragged Jack","BnASSYST-209","51",22.20213,-0.0296500000000002,1.19685333
"135","4.51","4","BR7-04112","2015-8-26 00:00:00",22.10992,23.45133333,"1","2","Kale Ragged Jack","BnASSYST-209","51",22.20213,-0.0922100000000015,1.34141333
"136","4.51","4","BR7-04122","2015-8-26 00:00:00",21.93536,23.422,"2","2","Kale Ragged Jack","BnASSYST-209","51",22.20213,-0.266770000000001,1.48664
"137","4.51","4","BR7-04114","2015-8-26 00:00:00",22.244,23.69397993,"1","4","Kale Ragged Jack","BnASSYST-209","51",22.20213,0.0418699999999994,1.44997993
"138","4.51","4","BR7-04124","2015-8-26 00:00:00",22.17252,23.64983278,"2","4","Kale Ragged Jack","BnASSYST-209","51",22.20213,-0.0296100000000017,1.47731278
"139","4.51","4","BR7-04131","2015-8-26 00:00:00",21.88148,23.382,"3","1","Kale Ragged Jack","BnASSYST-209","51",22.20213,-0.320650000000001,1.50052
"140","4.51","4","BR7-04132","2015-8-26 00:00:00",21.58224,23.46133333,"3","2","Kale Ragged Jack","BnASSYST-209","51",22.20213,-0.619890000000002,1.87909333
"141","4.51","4","BR7-04123","2015-8-26 00:00:00",22.49236,23.50668896,"2","3","Kale Ragged Jack","BnASSYST-209","51",22.20213,0.290230000000001,1.01432896
"142","4.51","4","BR7-04134","2015-8-26 00:00:00",21.87844,23.71270903,"3","4","Kale Ragged Jack","BnASSYST-209","51",22.20213,-0.323689999999999,1.83426903
"143","4.51","4","BR7-04121","2015-8-26 00:00:00",21.17228,23.342,"2","1","Kale Ragged Jack","BnASSYST-209","51",22.20213,-1.02985,2.16972
"144","4.51","4","BR7-04133","2015-8-26 00:00:00",22.76948,23.57491639,"3","3","Kale Ragged Jack","BnASSYST-209","51",22.20213,0.567350000000001,0.805436389999997
"145","5.30","5","BR7-05112","2015-8-5 00:00:00",19.8776,22.3,"1","2","Kale Siberian","BnASSYST-211","30",20.28437,-0.406769999999998,2.4224
"146","5.30","5","BR7-05114","2015-8-5 00:00:00",20.40392,22.3,"1","4","Kale Siberian","BnASSYST-211","30",20.28437,0.11955,1.89608
"147","5.30","5","BR7-05122","2015-8-5 00:00:00",20.42548,22.3,"2","2","Kale Siberian","BnASSYST-211","30",20.28437,0.141110000000001,1.87452
"148","5.30","5","BR7-05113","2015-8-5 00:00:00",20.12704,22.3,"1","3","Kale Siberian","BnASSYST-211","30",20.28437,-0.157329999999998,2.17296
"149","5.30","5","BR7-05124","2015-8-5 00:00:00",20.32964,22.3,"2","4","Kale Siberian","BnASSYST-211","30",20.28437,0.0452700000000021,1.97036
"150","5.30","5","BR7-05121","2015-8-5 00:00:00",20.18572,22.3,"2","1","Kale Siberian","BnASSYST-211","30",20.28437,-0.0986499999999992,2.11428
"151","5.30","5","BR7-05132","2015-8-5 00:00:00",20.13684,22.3,"3","2","Kale Siberian","BnASSYST-211","30",20.28437,-0.14753,2.16316
"152","5.30","5","BR7-05133","2015-8-5 00:00:00",20.1212,22.3,"3","3","Kale Siberian","BnASSYST-211","30",20.28437,-0.163169999999997,2.1788
"153","5.30","5","BR7-05134","2015-8-5 00:00:00",20.39548,22.3,"3","4","Kale Siberian","BnASSYST-211","30",20.28437,0.11111,1.90452
"154","5.30","5","BR7-05131","2015-8-5 00:00:00",20.28096,22.3,"3","1","Kale Siberian","BnASSYST-211","30",20.28437,-0.0034099999999988,2.01904
"155","5.30","5","BR7-05111","2015-8-5 00:00:00",20.72892,22.3,"1","1","Kale Siberian","BnASSYST-211","30",20.28437,0.44455,1.57108
"156","5.30","5","BR7-05123","2015-8-5 00:00:00",20.38316,22.3,"2","3","Kale Siberian","BnASSYST-211","30",20.28437,0.098790000000001,1.91684
"157","5.44","5","BR7-05124","2015-8-19 00:00:00",20.75984,21.8,"2","4","Kale Siberian","BnASSYST-211","44",21.17701,-0.417169999999999,1.04016
"158","5.44","5","BR7-05132","2015-8-19 00:00:00",21.56796,21.8,"3","2","Kale Siberian","BnASSYST-211","44",21.17701,0.39095,0.232040000000001
"159","5.44","5","BR7-05133","2015-8-19 00:00:00",21.34612,21.8,"3","3","Kale Siberian","BnASSYST-211","44",21.17701,0.16911,0.453880000000002
"160","5.44","5","BR7-05134","2015-8-19 00:00:00",21.02932,21.8,"3","4","Kale Siberian","BnASSYST-211","44",21.17701,-0.147690000000001,0.770680000000002
"161","5.44","5","BR7-05131","2015-8-19 00:00:00",21.43244,21.8,"3","1","Kale Siberian","BnASSYST-211","44",21.17701,0.25543,0.367560000000001
"162","5.44","5","BR7-05111","2015-8-19 00:00:00",21.3824,21.8,"1","1","Kale Siberian","BnASSYST-211","44",21.17701,0.205390000000001,0.4176
"163","5.44","5","BR7-05112","2015-8-19 00:00:00",21.51076,21.8,"1","2","Kale Siberian","BnASSYST-211","44",21.17701,0.333750000000002,0.289239999999999
